symb,nu,H
AEX,0.6793235081131216,0.17720311475551
AORD,0.6453607163636442,0.22971295079439363
BFX,0.6310023148962454,0.18514898918415318
BSESN,0.6654776855728624,0.20137686673888383
BVSP,0.6696968158835351,0.21069583166920974
DJI,0.7905291781147056,0.19023239221052435
FCHI,0.6493590590536178,0.16517605866426502
FTSE,0.6699951002447986,0.1675322139724618
GDAXI,0.6642271765368151,0.17323718619686315
HSI,0.540488883397147,0.21821741165851108
IBEX,0.6074646666347168,0.16639606380169505
IXIC,0.7355898665671805,0.1915958151435223
KS11,0.6154606524029321,0.24560719360773767
KSE,0.8808824937922967,0.17474538230831566
MXX,0.6202154493055243,0.1466696035011383
N225,0.6916990835684741,0.21738414468932266
NSEI,0.671746469058061,0.18381209596753184
RUT,0.7363039347139713,0.18670175645592116
SPX,0.8178231125262211,0.19359411444716482
SSEC,0.7091335097002692,0.17704989411612793
SSMI,0.6306378073490552,0.21680269800712768
S5E,0.7137320374827881,0.1433192638230502
